timestamp,beats per minute,data source
2025-03-26T15:21:15Z,95.0,Sense
2025-03-26T15:21:20Z,96.0,Sense
2025-03-26T15:21:25Z,95.0,Sense
2025-03-26T15:21:30Z,93.0,Sense
2025-03-26T15:21:40Z,92.0,Sense
2025-03-26T15:21:50Z,94.0,Sense
2025-03-26T15:22:05Z,93.0,Sense
2025-03-26T15:22:15Z,92.0,Sense
2025-03-26T15:22:20Z,90.0,Sense
2025-03-26T15:22:25Z,96.0,Sense
2025-03-26T15:22:30Z,98.0,Sense
2025-03-26T15:22:35Z,100.0,Sense
2025-03-26T15:22:40Z,101.0,Sense
2025-03-26T15:22:45Z,100.0,Sense
2025-03-26T15:22:50Z,100.0,Sense
2025-03-26T15:23:05Z,99.0,Sense
2025-03-26T15:23:10Z,94.0,Sense
2025-03-26T15:23:15Z,92.0,Sense
2025-03-26T15:23:20Z,93.0,Sense
2025-03-26T15:23:30Z,94.0,Sense
2025-03-26T15:23:35Z,97.0,Sense
2025-03-26T15:23:40Z,99.0,Sense
2025-03-26T15:23:45Z,100.0,Sense
2025-03-26T15:23:50Z,101.0,Sense
2025-03-26T15:23:55Z,100.0,Sense
2025-03-26T15:24:00Z,102.0,Sense
2025-03-26T15:24:10Z,101.0,Sense
2025-03-26T15:24:15Z,102.0,Sense
2025-03-26T15:24:30Z,103.0,Sense
2025-03-26T15:24:35Z,104.0,Sense
2025-03-26T15:24:45Z,103.0,Sense
2025-03-26T15:24:50Z,100.0,Sense
2025-03-26T15:24:55Z,98.0,Sense
2025-03-26T15:25:00Z,92.0,Sense
2025-03-26T15:25:10Z,88.0,Sense
2025-03-26T15:25:15Z,85.0,Sense
2025-03-26T15:25:20Z,84.0,Sense
2025-03-26T15:25:25Z,83.0,Sense
2025-03-26T15:25:30Z,86.0,Sense
2025-03-26T15:25:35Z,89.0,Sense
2025-03-26T15:25:40Z,88.0,Sense
2025-03-26T15:25:45Z,87.0,Sense
2025-03-26T15:25:50Z,84.0,Sense
2025-03-26T15:25:55Z,82.0,Sense
2025-03-26T15:26:00Z,77.0,Sense
2025-03-26T15:26:05Z,74.0,Sense
2025-03-26T15:26:20Z,74.0,Sense
2025-03-26T15:26:25Z,75.0,Sense
2025-03-26T15:26:30Z,76.0,Sense
2025-03-26T15:26:40Z,78.0,Sense
2025-03-26T15:26:45Z,77.0,Sense
2025-03-26T15:26:50Z,78.0,Sense
2025-03-26T15:27:00Z,75.0,Sense
2025-03-26T15:27:05Z,73.0,Sense
2025-03-26T15:27:15Z,73.0,Sense
2025-03-26T15:27:20Z,73.0,Sense
2025-03-26T15:27:25Z,73.0,Sense
2025-03-26T15:27:35Z,73.0,Sense
2025-03-26T15:27:40Z,72.0,Sense
2025-03-26T15:27:55Z,72.0,Sense
2025-03-26T15:28:05Z,71.0,Sense
2025-03-26T15:28:20Z,72.0,Sense
2025-03-26T15:28:30Z,71.0,Sense
2025-03-26T15:28:35Z,73.0,Sense
2025-03-26T15:28:50Z,73.0,Sense
2025-03-26T15:29:05Z,73.0,Sense
2025-03-26T15:29:10Z,72.0,Sense
2025-03-26T15:29:15Z,72.0,Sense
2025-03-26T15:29:20Z,72.0,Sense
2025-03-26T15:29:35Z,72.0,Sense
2025-03-26T15:29:40Z,74.0,Sense
2025-03-26T15:29:45Z,76.0,Sense
2025-03-26T15:29:55Z,76.0,Sense
2025-03-26T15:30:00Z,77.0,Sense
2025-03-26T15:30:05Z,78.0,Sense
2025-03-26T15:30:10Z,80.0,Sense
2025-03-26T15:30:15Z,79.0,Sense
2025-03-26T15:30:20Z,81.0,Sense
2025-03-26T15:30:25Z,83.0,Sense
2025-03-26T15:30:30Z,81.0,Sense
2025-03-26T15:30:40Z,79.0,Sense
2025-03-26T15:30:45Z,76.0,Sense
2025-03-26T15:30:50Z,76.0,Sense
2025-03-26T15:30:55Z,75.0,Sense
2025-03-26T15:31:00Z,76.0,Sense
2025-03-26T15:31:05Z,78.0,Sense
2025-03-26T15:31:10Z,81.0,Sense
2025-03-26T15:31:15Z,83.0,Sense
2025-03-26T15:31:20Z,86.0,Sense
2025-03-26T15:31:25Z,87.0,Sense
2025-03-26T15:31:30Z,88.0,Sense
2025-03-26T15:31:35Z,87.0,Sense
2025-03-26T15:31:40Z,82.0,Sense
2025-03-26T15:31:45Z,78.0,Sense
2025-03-26T15:31:50Z,80.0,Sense
2025-03-26T15:31:55Z,79.0,Sense
2025-03-26T15:32:05Z,80.0,Sense
2025-03-26T15:32:10Z,79.0,Sense
2025-03-26T15:32:15Z,77.0,Sense
2025-03-26T15:32:20Z,78.0,Sense
2025-03-26T15:32:25Z,77.0,Sense
2025-03-26T15:32:30Z,77.0,Sense
2025-03-26T15:32:35Z,74.0,Sense
2025-03-26T15:32:40Z,75.0,Sense
2025-03-26T15:32:45Z,77.0,Sense
2025-03-26T15:32:50Z,79.0,Sense
2025-03-26T15:33:05Z,76.0,Sense
2025-03-26T15:33:15Z,73.0,Sense
2025-03-26T15:33:30Z,74.0,Sense
2025-03-26T15:33:35Z,75.0,Sense
2025-03-26T15:33:40Z,73.0,Sense
2025-03-26T15:33:45Z,74.0,Sense
2025-03-26T15:33:50Z,78.0,Sense
2025-03-26T15:33:55Z,77.0,Sense
2025-03-26T15:34:00Z,76.0,Sense
2025-03-26T15:34:05Z,74.0,Sense
2025-03-26T15:34:10Z,76.0,Sense
2025-03-26T15:34:15Z,77.0,Sense
2025-03-26T15:34:20Z,79.0,Sense
